id,title,scheme
oefos:211904,Biomechanics,oefos
oefos:211905,Bionics,oefos
oefos:211906,Fire protection,oefos
oefos:211907,Energy saving,oefos
oefos:211908,Energy research,oefos
oefos:211909,Energy technology,oefos
oefos:211910,Noise protection,oefos
oefos:211911,Sustainable technologies,oefos
oefos:211912,Product design,oefos
oefos:211913,Quality assurance,oefos
oefos:211914,Risk research,oefos
oefos:211915,Solar technology,oefos
oefos:211916,Blasting engineering,oefos
oefos:211917,Technology assessment,oefos
oefos:211918,Technical history,oefos
oefos:211919,Thermography,oefos
oefos:211920,Packaging technology,oefos
oefos:211921,Civil protection and disaster control,oefos
oefos:211922,Energy storage,oefos
oefos:211923,Factory planning,oefos
oefos:211924,Process and plant safety,oefos
oefos:211925,Explosion research,oefos
oefos:211926,Technology ethics,oefos
oefos:301101,General pathology,oefos
oefos:301102,Anatomy,oefos
oefos:301104,Embryology,oefos
oefos:301105,Experimental pathology,oefos
oefos:301106,Functional anatomy,oefos
oefos:301107,Histology,oefos
oefos:301108,Molecular pathology,oefos
oefos:301109,Pathophysiology,oefos
oefos:301110,Physiology,oefos
oefos:301111,Radiologic anatomy,oefos
oefos:301112,Systematic anatomy,oefos
oefos:301113,Topographic anatomy,oefos
oefos:301114,Cell biology,oefos
oefos:301115,Sonoanatomy,oefos
oefos:301201,Pharmaceutical and drug analysis,oefos
oefos:301202,History of pharmacy,oefos
oefos:301203,Pharmacodynamics,oefos
oefos:301204,Pharmacognosy,oefos
oefos:301205,Pharmacokinetics,oefos
oefos:301206,Pharmacology,oefos
oefos:301207,Pharmaceutical chemistry,oefos
oefos:301208,Pharmaceutical technology,oefos
oefos:301209,Pharmacy,oefos
oefos:301210,Psychopharmacology,oefos
oefos:301211,Toxicology,oefos
oefos:301212,Clinical pharmacy,oefos
oefos:301213,Drug targeting,oefos
oefos:301214,Biopharmacy,oefos
oefos:301301,Human genetics,oefos
oefos:301302,Lipidomics research,oefos
oefos:301303,Medical biochemistry,oefos
oefos:301304,Medical biology,oefos
oefos:301305,Medical chemistry,oefos
oefos:301306,Medical molecular biology,oefos
oefos:301307,Cytogenetics,oefos
oefos:301308,Ageing research,oefos
oefos:301401,Brain research,oefos
oefos:301402,Neurobiology,oefos
oefos:301403,Neurochemistry,oefos
oefos:301404,Neuroimmunology,oefos
oefos:301405,Neuropathology,oefos
oefos:301406,Neuropharmacology,oefos
oefos:301407,Neurophysiology,oefos
oefos:301408,Psychophysiology,oefos
oefos:301409,Neuroanatomy,oefos
oefos:301901,Blood group serology,oefos
oefos:301902,Immunology,oefos
oefos:301903,Vaccine development,oefos
oefos:301904,Cancer research,oefos
oefos:301905,Psychoneuroimmunology,oefos
oefos:301906,Serology,oefos
oefos:301907,Biobanking,oefos
oefos:302001,Acupuncture,oefos
oefos:302002,Allergology,oefos
oefos:302003,General surgery,oefos
oefos:302004,Anaesthesiology,oefos
oefos:302005,Andrology,oefos
oefos:302006,Angiology,oefos
oefos:302007,Ophthalmology,oefos
oefos:302008,Balneology,oefos
oefos:302009,Chemotherapy,oefos
oefos:302010,Computed tomography (CT),oefos
oefos:302011,Dermatology,oefos
oefos:302012,Diabetology,oefos
oefos:302013,Medical diagnostics,oefos
oefos:302014,Endocrinology,oefos
oefos:302015,Experimental surgery,oefos
oefos:302016,Gastroenterology,oefos
oefos:302017,Obstetrics,oefos
oefos:302018,Vascular surgery,oefos
oefos:302019,Geriatrics,oefos
oefos:302021,History of psychiatry,oefos
oefos:302022,Gynaecology,oefos
oefos:302023,"Ear, nose and throat medicine",oefos
oefos:302024,Haematology,oefos
oefos:302025,Hepatology,oefos
oefos:302026,Heart surgery,oefos
oefos:302027,"Hearing, voice and language disorders",oefos
oefos:302028,Hyperbaric medicine,oefos
oefos:302029,Implantology,oefos
oefos:302030,Internal medicine,oefos
oefos:302031,Intensive care medicine,oefos
oefos:302032,Cardiology,oefos
oefos:302033,Jaw surgery,oefos
oefos:302034,Orthodontics,oefos
oefos:302035,Paediatrics and adolescent medicine,oefos
oefos:302036,Child and adolescent psychiatry,oefos
oefos:302037,Paediatric surgery,oefos
oefos:302038,Clinical neuropsychology,oefos
oefos:302039,Complementary medicine,oefos
oefos:302040,Laboratory diagnostics,oefos
oefos:302041,Laser surgery,oefos
oefos:302042,Logopedics,oefos
oefos:302043,Magnetic resonance imaging (MRI),oefos
oefos:302044,Medical physics,oefos
oefos:302045,Medical psychology,oefos
oefos:302046,Medical psychotherapy,oefos
oefos:302047,Microsurgery,oefos
oefos:302048,Minimally invasive surgery,oefos
oefos:302049,Neonatology,oefos
oefos:302050,Nephrology,oefos
oefos:302051,Neurosurgery,oefos
oefos:302052,Neurology,oefos
oefos:302053,Emergency medicine,oefos
oefos:302054,Nuclear medicine,oefos
oefos:302055,Oncology,oefos
oefos:302056,Oncological surgery,oefos
oefos:302057,Orthopaedics,oefos
oefos:302058,Palliative medicine,oefos
oefos:302059,Periodontology,oefos
oefos:302060,Perinatology,oefos
oefos:302061,Physical medicine,oefos
oefos:302062,Plastic and reconstructive surgery,oefos
oefos:302063,Multiple trauma care,oefos
oefos:302064,Prenatal diagnostics,oefos
oefos:302065,Clinical psychiatry,oefos
oefos:302066,Psychopathology,oefos
oefos:302067,Psychosomatics,oefos
oefos:302068,Pulmology,oefos
oefos:302069,Radiosurgery,oefos
oefos:302070,Radiodiagnostics,oefos
oefos:302071,Radiology,oefos
oefos:302072,Rheumatology,oefos
oefos:302073,Sleep medicine,oefos
oefos:302074,Pain medicine,oefos
oefos:302075,Sonography,oefos
oefos:302076,Social psychiatry,oefos
oefos:302077,Stem cell transplantation,oefos
oefos:302078,Metabolic diseases,oefos
oefos:302079,Radiation protection,oefos
oefos:302080,Radiotherapy,oefos
oefos:302081,Thoracic surgery,oefos
oefos:302082,Transfusion medicine,oefos
oefos:302083,Transplant surgery,oefos
oefos:302084,Transplantation medicine,oefos
oefos:302085,Trauma surgery,oefos
oefos:302086,Urology,oefos
oefos:302087,Venereology,oefos
oefos:302088,Dentistry,oefos
oefos:302089,Reproductive medicine,oefos
oefos:302090,General practice,oefos
oefos:302091,Immunotherapy,oefos
oefos:302092,Oral surgery,oefos
oefos:302093,Restorative dentistry,oefos
oefos:303001,Occupational medicine,oefos
oefos:303002,Bacteriology,oefos
oefos:303003,Occupational diseases,oefos
oefos:303004,Kinesiology,oefos
oefos:303005,Sports biomechanics,oefos
oefos:303006,Dietetics,oefos
oefos:303007,Epidemiology,oefos
oefos:303008,Ergonomics,oefos
oefos:303009,Nutritional sciences,oefos
oefos:303010,Health economics,oefos
oefos:303011,Health policy,oefos
oefos:303012,Health sciences,oefos
oefos:303013,Hygiene,oefos
oefos:303014,Vaccine protection,oefos
oefos:303015,Hospital hygiene,oefos
oefos:303016,Hospital management,oefos
