id,title,url
GFDL-1.3-or-later,GNU Free Documentation License v1.3 or later,http://spdx.org/licenses/GFDL-1.3-or-later.json
GL2PS,GL2PS License,http://spdx.org/licenses/GL2PS.json
GLWTPL,Good Luck With That Public License,http://spdx.org/licenses/GLWTPL.json
GPL-1.0,GNU General Public License v1.0 only,http://spdx.org/licenses/GPL-1.0.json
GPL-1.0+,GNU General Public License v1.0 or later,http://spdx.org/licenses/GPL-1.0+.json
GPL-1.0-only,GNU General Public License v1.0 only,http://spdx.org/licenses/GPL-1.0-only.json
GPL-1.0-or-later,GNU General Public License v1.0 or later,http://spdx.org/licenses/GPL-1.0-or-later.json
GPL-2.0,GNU General Public License v2.0 only,http://spdx.org/licenses/GPL-2.0.json
GPL-2.0+,GNU General Public License v2.0 or later,http://spdx.org/licenses/GPL-2.0+.json
GPL-2.0-only,GNU General Public License v2.0 only,http://spdx.org/licenses/GPL-2.0-only.json
GPL-2.0-or-later,GNU General Public License v2.0 or later,http://spdx.org/licenses/GPL-2.0-or-later.json
GPL-2.0-with-GCC-exception,GNU General Public License v2.0 w/GCC Runtime Library exception,http://spdx.org/licenses/GPL-2.0-with-GCC-exception.json
GPL-2.0-with-autoconf-exception,GNU General Public License v2.0 w/Autoconf exception,http://spdx.org/licenses/GPL-2.0-with-autoconf-exception.json
GPL-2.0-with-bison-exception,GNU General Public License v2.0 w/Bison exception,http://spdx.org/licenses/GPL-2.0-with-bison-exception.json
GPL-2.0-with-classpath-exception,GNU General Public License v2.0 w/Classpath exception,http://spdx.org/licenses/GPL-2.0-with-classpath-exception.json
GPL-2.0-with-font-exception,GNU General Public License v2.0 w/Font exception,http://spdx.org/licenses/GPL-2.0-with-font-exception.json
GPL-3.0,GNU General Public License v3.0 only,http://spdx.org/licenses/GPL-3.0.json
GPL-3.0+,GNU General Public License v3.0 or later,http://spdx.org/licenses/GPL-3.0+.json
GPL-3.0-only,GNU General Public License v3.0 only,http://spdx.org/licenses/GPL-3.0-only.json
GPL-3.0-or-later,GNU General Public License v3.0 or later,http://spdx.org/licenses/GPL-3.0-or-later.json
GPL-3.0-with-GCC-exception,GNU General Public License v3.0 w/GCC Runtime Library exception,http://spdx.org/licenses/GPL-3.0-with-GCC-exception.json
GPL-3.0-with-autoconf-exception,GNU General Public License v3.0 w/Autoconf exception,http://spdx.org/licenses/GPL-3.0-with-autoconf-exception.json
Giftware,Giftware License,http://spdx.org/licenses/Giftware.json
Glide,3dfx Glide License,http://spdx.org/licenses/Glide.json
Glulxe,Glulxe License,http://spdx.org/licenses/Glulxe.json
